बारमा तेस्रो पटक भेट भएपछि उसले मलाई आफ्नो घर बिशालनगरमा निम्त्यायो।	After our third meeting in the bar, he invited me to his home in Vishainagar.
यति मेरो सन्तुष्ट हुनुको सीमा तथा साधन।	This was the extent and means of my satisfaction.
सन्तुष्टि मैले खोजेर लिनुपर्थ्यो, बाँच्ने बहाना गर्नुपर्व्यो, तत्र मभित्रको अव्यक्त असन्तोषले मलाई एकनास खाइ नै रहेको थियो।	Satisfaction had to be sought and achieved, it had to be a reason for living, but the unspoken dissatisfaction within me continued to gnaw away.
यति विवश म, ! आफैँले एउटा घेराकौ सृजना गरी त्यसैमा रङमड्एर, भुलेर हिंडिरहन्‌- ।	I was so helpless, creating a barrier for myself and continuing to wander around it in confusion.
कहिलेकाहीँ त शिवराजलाई हेरेर पनि म चित्त बुझाउँथे, शिवराजसँग चरीको र शिवराजसँग मेरो पनि घनिष्ठता छ, अनि लाग्थ्यो त्यसै।	Sometimes, I would find satisfaction by looking at Shivraj, and it seemed that there was also a close relationship between Shivraj and me, as well as with the birds.
महीना दिनपछि क आई, केही अझ दुव्लाएर।	After a month, K came back, looking even more emaciated.
त्यही साँझ मैले उसलाई हेरेँ।	That evening, I saw him.
एकटा घेराभित्र बुनिएको, एउटा सीमादेखि उता जान असमर्थ, मेरो उसलाई भन्नु कैही थिएन।	He was woven within a boundary, unable to go beyond a certain limit; I had nothing to say to him.
उसले मलाई एक दिन भनी "सुयोगजी ! दुव्लाउनुभएछ" र मैले स्वीकार गरेँ।	He told me one day, "Sujoyji, you have become emaciated," and I accepted it.
मदेशबाट फर्केर आएपछि उसले केश छोट्याइन; कान छोप्ने गरी, घिचो छोप्ने गरी पलाएको थियो उसको केश।	After returning from Madhes, he had cut his hair; it was grown to cover his ears and neck.
मलाई स्वास्नीमान्छेको लामो केश भएको मन पर्थ्यो ! यसैले मैले उसलाई एक दिन भनें “वरी ! तिमीलाई केश : पालेको कति सुहाएको छ, अब त पाल्ने गर है !”	I didn’t like long hair on women! So, I told him one day, “Bari, how well it suits you to have long hair; now please maintain it!”
त्यसको तीन दिन- पछि जाँदा एक इन्चको हिसावले केश छाँटेर क बसिरहेकी थिई, हरिद्वार-मा केश फालेर आएकी विधवाजस्ती, भरखर मुडुलाएर छोडेकी वौलाही- जस्ती भएर।	Three days later, when I went, she had trimmed her hair by an inch, and was sitting like a widow who had come back from Haridwar, having cut her hair.
उप्रान्त मैले केही भन्ने साहस गरिनँ; मलाई चोट लाग्यो, उसदेखि विरक्ति लाग्यो, तर यो मूल्यहीन चौट विरक्तिले मलाई उसको मोहदेखि टाढा लगेन।	Afterwards, I didn’t have the courage to say anything; I was hurt and detached from her, but this meaningless repulsion didn’t take me far from her affection.
सम्झौँ, कति विपरीत गएकी छ क मदेखि, उसको बाटो पहिलाएर म कहाँ सक्छु र !	Let's consider how contrary it is from K, and where can I go if she has paved her way?
मेरो उल्टो दिशातिर हिँडिरहेकी हुन्छे क जहिले पनि।	She always walks in the opposite direction from me.
एकटा नदीको जहिले पनि क उँभो लागेकी छर क सलसल्ती बिपरीत बगेर गएकी छ, त्यस भँगालोलाई फर्काएर एकपल्ट मेरो आफ्ना बाटोतर्फ बगाउनु अनि त्यसको पछि केही कुरा नसम्झो हुन्छ, त्यसैले यो मेरो कथा अति दयालाग्दौ र अति हीन।	She has always been like a river flowing upstream, moving against the current, and it would be pointless to turn that upheaval back to my own path and think about it. Thus, my story is extremely pitiable and desolate.
प्रेम निस्सार मानिसहरूसँग निस्सार पैमसँग सधैं हातेमालो गरेर हिंडेका छन्।	Love always accompanies the aimless and worthless people.
प्रेमको अस्तित्व रहेको छ निस्सारतामा र म पनि एउटा निस्सार प्रेमलाई छातीमा च्यापेर हिँडिरहेको छु।	The existence of love is present in futility, and I am also walking with a futile love clinging to my chest.
प्रमाणित गरिरहेको छु आफैलाई, दुःखको गोरेटोका जीवनलाई वोकेर हिंड्नुपर्छ, भोगेर हिँड्नुपर्छ।	I am proving to myself that I have to walk through the path of suffering, enduring and experiencing it.
कति कठिन छ यो जीबनसँग पार पाउनु, सबै रित्त्याएर, हराएर पत्ति बाँचिन्छ, केही नपाउनलाई बाँचिन्छ।	How difficult it is to overcome this life, living by emptying everything, losing, and living to gain nothing.
यसरी पशस्त विचारहरू खेलाएर डुलिरहेँ काठमाण्डूका सडक, गल्ली, होटेल र बारहरूमा।	Thus, I wandered through the streets, alleys, hotels, and bars of Kathmandu, playing with my tormenting thoughts.
पोखिने मेरो कुनै साधन थिएन, ठाउँ थिएन।	I had no means or place to escape.
मेरो छातीमा प्रेम एउटा गतिलो खाडल खनेर बसिसकेको थियो।	In my chest, love had dug a deep pit.
दुब्लाउनु कै थियौ अझ बूढो देखिइनु थियो।	Emaciation was turning me even older.
उमेरले बूढो बनाएको मानिस, छालाले बूढो बनाएको मानिस, पीरले खुम्च्याएको अभिव्यक्ति, सहर्ष स्वीकार गर्दै जाँदै थिएँ नाङ्गो वास्तविकतालाई र सान्त्वना दिन्थेँ आफैँलाई 'यस्तो हो नि मान्छेको प्रारव्ध' भन्ती।	A person made old by age, by skin, and by suffering, I was willingly accepting the stark reality and comforting myself by saying, "This is the fate of man."
हिउँदमा कठ्याङ्ग्रिएर दितहरू बित्न लागेका थिए।	In winter, the days were passing with cold.
तुषारो र कुहिरोले खेलेर उजाड बनाएको काठमाण्डू, वरीको फूलबारी, शिरीषका रूखहरू, दुवोको चौर, आश्चय पाउन धाएको कुकुरको जस्तो मेरो अस्तित्वलाई लिएर पुथ्वी घुम्दै थियौ नियमबद्ध।	Kathmandu, made barren by frost and fog, the flower garden of Bari, the Shirish trees, the dust fields, and my existence like a dog seeking astonishment, were all traversing the earth systematically.
माघको बीच महीनाहँदो सानु पोइल गई।	By mid-Magha, Sanu had disappeared.
शिवराजले केही दिन बेइज्जतीको अनुभव गन्यो।	Shivraj experienced some dishonor for a few days.
मुजुराले र आमाचाहिले सम्झौता गर्ने प्रस्ताव राखे, मुजुराको भन्नु थियो "एक-अर्का रुचाएर गएदेखि कसको के लाग्छ र ? उनीहरू जीवन वनाएर वस्त सकिहास्छन् नि।	Mujura and his mother proposed a compromise, with Mujura saying, "Since they like each other, what does it matter? They will live their lives together.
सानु कुनै खरान चालचलन भएकी केटी होइन।”	Sanu is not a girl of any bad behavior.”
शिवराजले वरीलाई सोद्धा बरीले यति नै भनी रे "मात्तिएकी ठिटी, कत्रो हतार परेको बिहे गर्नलाई !"	When Shivraj asked Bari, Bari said, "A crazy girl, how desperate she is to marry!"
त्यसपछि उसले कहिल्यै सासु गै नाउँ लिइन, सानुलाई हेन इच्छा प्रकट गरिन।	After that, he never mentioned his mother-in-law’s name again and expressed no interest in Sanu.
एक किसिमले विर्सिंदिई, फेरि समागम भई आफैँमा।	In a way, forgetting and reuniting with herself.
यी.सन्नै अव्यक्त भएर मैले सहिरहेको थिएँ, हेरिरहेको थिएँ।	I was silently enduring and observing all these.
कोरा आदर्श र कोरा भावनामा मेरो जीवन पलापिन असम्भव हुँदै गयो।	It became impossible for my life to survive on mere ideals and emotions.
जति चिन्दै गयो वरीलाई ,उति म फस्दै जान्थें, उति सम्मोहित हुँदै जान्थे र उति उसप्रतिको मेरो रहर तीव्र हुँदै गयो।	The more I knew Bari, the more I got entangled, the more I was mesmerized, and the more my desire for her intensified.
मेरो रित्तो मस्तिष्कमा एउटै गब्द वारपार खेलिरहन्थ्यो त्यो हो सकमबरी।	In my empty mind, the only word that kept playing was “Sakambari.”
जति टाढा भगाउन चेष्टा गर्थे, उति म उसको नजीक हुरुक्क भइरहेको पाउँधै।	The more I tried to distance myself, the more I found myself getting closer to her.
सबैभरि एकतमासँग म उसलाई सम्झिरहन्थेँ, कत्रो व्यङ्ग्य !	Everywhere, I kept remembering her with a single-minded focus, what an irony!
ममा एउटा लोभको सञ्चार भइसकेको थियो सिङ्गो बरीलाई पाउन।	I had developed a desire to possess all of Bari.
घाँटी, छाती र टाउको नभएको वरीलाई होइन र यी नभएर विरोध मात्र ओगटेको उसको आत्मालाई होइन।	Not just Bari without a neck, chest, and head, but not embracing only her spirit with resistance.
उसप्रतिको रहरसँगसँगै उसलाई पति, जम्मामा बरीलाई।	Along with my desire for her, I wanted her as a wife, completely as Bari.
एउटी ठो सकमबरीलाई, सम्पूर्ण उसदेखि कुनै उसको मानसिकता नल्नुट्टयाएर, उसदेखि कुनै उसको आसक्ति नछुट्याएर।	A single Sakambari, without extracting any of her mentality or attachment from her.
म अँगाल्त चाहन्थेँ सम्पूर्ण उसलाई आफूभित्र, समावेश गराउन चाहन्थेँ आफैँमा।	I wanted to embrace all of her within myself, to include her in myself.
तपाईंको नकारात्मकताबीच म आफैँलाई सम्हाल्न सकेन।	I couldn't hold myself together amidst the negativity.
'तिम्रो नश्वर शरीर: मलाई चाहिँदैन, तिम्रो आत्मालाई साँचो माया गरेको छु भनी मलाई श्रममा राख्न सकिनँ।	"Your mortal body is not what I want; I couldn't keep myself in labor by claiming that I truly loved your soul.
यो ढाँग र असत्य भावनाको आधारमा मैले आफूलाई सन्तुष्ट बनाउन सकिनँ।	Based on this pretense and false emotions, I couldn't satisfy myself.
मानिस अज्ञानी हुनु नै सुखी हुनु हो।	Being ignorant is being happy.
मलाई सिङ्गो क र सम्पूर्ण क चाहिएको थियो।	I wanted the whole K and all of K.
शिवसँग यो पीर पोख्नु आत्महत्या गर्तुबराबर थियो।	Expressing this pain to Shiv was equivalent to suicide.
मैले राम्रोसँग अध्ययन गरिसकेको थिएँ, मुजुरा हो भने कुन्नि तर सकमबरीलाई एउटा बूढो रक्स्याहाको हात छोड्नु शिवको निम्ति पनि आत्महत्या गर्नु थियो।	I had studied well; if Mujura was the case, then leaving a rickety hand for Sakambari was like suicide for Shiv too.
कुनै पति अवस्थामा बरीलाई उसले मैरो अघि वलि दिंदैन।	In any situation, Bari would not sacrifice herself for me.
अव पनि काठमाण्डूबाट भागिनं भने मेरो वहुलाउनु तिश्चित थियो।	Even now, escaping from Kathmandu was certain to be my escape.
भाग्ने कुरा सम्भ्यो कि झन्‌ नरमाइलो लाग्थ्यो।	If escaping was possible, it would be even more uncomfortable.
प्राप्तिदेखि टाढा अनकन्टारमा अन्धाधुन्ध आफूलाई निर्वासित गरिदिएर कसरी बाँच्ने; अनि म निस्सासिएर आउँथे।	How to live by recklessly exiling myself far from attainment; then I would come back gasping.
कहिले लाग्थ्यो सम्पूर्ण आफूलाई पखालेर, पगालेर मन र मस्तिष्क जम्मै उदाङ्गो देखाएर यदि नयाँ जीवन शुरू हुने सम्भावनाको अस्तित्व कहीं भएन, मैले पनि बरीसँग जीवन दान मागे हुँदैन!	Sometimes, it felt like if I could wash away, purify, and expose my entire mind and brain, and if there was no possibility of starting a new life, I shouldn't have even asked Bari for a life grant!
आफ्नो दुःख बिर्साएर, अतीत विर्साएर, अपराध विर्साएर मैले एकपल्ट आफैँलाई कसीमा राखेर हेर्नुपर्ने हा।	Forgetting my own suffering, the past, and the guilt, I had to test myself once.
हुनसम्छ क मलाई तिरस्कार गर्छे, घुणा गर्छ र शक्तिले पुगे माने बेर लाउँदिन, एउटा सत्य त खोलिन्छ।	Perhaps she despises me, hates me, and if she reaches her limit, she won’t accept me, but a truth is revealed.
यति थाहा पाउनेछ उसले कसरी सुयोगवीर सिंहले सारा जीवनका अनुभूतिलाई तिरधंक आफूबाट चिप्लन दिएर, खोक्रो बाँचेर, रित्तो बाँचेर, आफ्नो छयालीस बर्षको उमेरमा सारा मन उदाङ्गो पारी एउटी चौबीस वर्षकी ठिटीसँग सत्य प्रेमको प्रतिक्रिया मागेको थियो।	She will know how Sujoyveer Singh, by slipping away from himself, living hollowly, and with an empty life, at the age of forty-six, had asked for a true response of love from a twenty-four-year-old girl.
यति त धाहा पाउनेछ उसले, मैले उसलाई कस्तो दयनीय अवस्थामा प्रेम गरिरहेको छु।	She will understand how I loved her in such a pitiable state.
केही हलुङ्गी त हुनेछु म, केही सुखी त हुनेछु।	I will be somewhat light, and somewhat happy.
चिच्च्याउत मन लाग्थ्यो 'मेरी चोखी सकमवबरी ! मलाइ पनि चोखित त देख, बाच्न त देक।'	My heart ached, "My pure Sakambari! Show me your purity, let me live too."
सति बिचार गरें, बाटो खोजेँ भनेर साध्य छैन तर म व्यक्त हुन सक्न।	I thought deeply, searching for a way was not enough, but I could not express myself.
एउटा व्यधा वोकेर म बाचिरहेँ।	Carrying a disease, I continued to live.
रव्सीसँग पिउँदै उसको फेरि रवसीकौो छोडाइसँगै तरलगाइराख्थैं।	Drinking with Ravi, and then keeping her along with Ravi's departure.
सम्झन्थे 'म कहाँबाट कहाँ आइपुगे । दँजाएर हेर्थे आफ्ना अनुभूतिहरूलाई र'	I thought, "How far have I come? Reflecting on my experiences."
एक क्षीण ठिटीको अनुहार मेरो अघि उत्रन्छ र आँखा तरेर जान्छ।	A thin, frail face descends before me and looks away.
बलिया-बलिया हात-खुट्टा, गहुँगोरो रोगन, कुनै चैतनशीलता नलुकाएका सफा आँखाहरू, लट्टा परेको केशा, महोगनीको रूखको आडमा शिकार गर्न बसेकी, म सम्झँदै जान्छु।	Strong arms and legs, fair skin, clear eyes that hide no vitality, disheveled hair, and a hunter sitting in the shade of a mahogany tree—I remember her.
मध्यरात भएको होला, क्यामोफ्लेज भएर बसेको सैनिक बहादुरको उपस्थिति थाहा नपाई खोलाको कुलुलु स्वरसँगै बहलिएर बसेकी छ।	It must be midnight; she sits camouflaged, unaware of the presence of the brave soldier, and flows with the murmurs of the stream.
जूनको रङ्गमा पहेँलिएकी, जङ्गली फूलको बाससँग अभिव्यक्त भएकी, यदि कसैलाई स्वर्गीय भन्न सके, त्यही हो।	Drenched in the color of the moon, expressing with the scent of wildflowers, if anyone could be called celestial, it is her.
अज्ञान, निरपराध, अस्तित्वको कीराले कतैबाट नखाएकी, उसलाई हेरेर मात्र बस्न सकिन्न।	Unaware, innocent, untouched by the pests of existence, she is someone one cannot just observe.
के थाहा उसलाई, बिचरी, आज मानिस कहाँ पुगेको छैन?	Does she know, poor thing, where humanity stands today?
कसरी यो आधारातिर अभावको जङ्गलमा पनि एक्लो छैन!	How is it that even in this remote jungle, she is not alone?
यो गोर्खा रेजिमेण्ट बसेको जिल्ला हो, यहाँ भोलि जापानीहरू आइपुग्न सक्छन्, बम खस्न सक्छ, कति सिपाहीहरू लुकेर बसेका छन्—पश्चाताप गर्न कि मर्न?	This is a district where the Gurkha Regiment is stationed; Japanese might arrive tomorrow, bombs might fall, and many soldiers might be hiding—whether to repent or to die?
तर उसलाई यसले कत्ति विचलित पार्दैन।	But none of this disturbs her.
शिकार भेट्टाएदेखि काँचै खान्छे कि आघात।	Since finding prey, she eats raw or from wounds.
मान्छेको टाउको काटेर पूजा गर्नेहरूको सन्तान, एउटी स्वस्तिमान्छे नाङ्गा पाखुराहरूलाई जूतमा टल्काएर केन्द्रित भएकी छ।	She is the offspring of those who worship by cutting human heads, focused on flaunting her bare arms like a healthy woman.
जति उसलाई हेर्दै जान्छु, मलाई क्यामोफ्लेजको बन्धनले घाँटी टाइट गर्न थाल्छ, युद्धले पिरोल्छ, विरोध गर्दै भयाङबाट फुत्कन मन लाग्छ।	The more I watch her, the tighter the bonds of camouflage feel around my neck, the more war torments me, and I want to escape from the jungle in protest.
मेरो क्षणिक अस्तित्वमाथि मलाई मोह भएर आउँछ, मलाई त्यो स्थिति लुट्न मन लाग्छ।	My fleeting existence is overtaken by longing, and I desire to plunder that situation.
म मनमनै भन्न थाल्छु, 'ए छीनकी सुकुमारी छोरी! मेरो मात्र होइन, यहाँ तिम्रो जीवनको पनि अस्तित्व छैन, मेरो मात्र होइन, तिम्रो मृत्युको पनि अर्थ छैन।	I start to say to myself, 'Oh, plundered maiden! Not only my existence but yours too is non-existent here, not only my death but yours also has no meaning.
यो युद्धको घनघोर क्षेत्रभित्र हामी दुवैको मृत्यु छैन।	In this dense battlefield of war, our deaths mean nothing.
तिमी र ममा के दुश्मनी छ?	What enmity is there between you and me?
तिमी के पाउँछौ अनि म के पाउँछु युद्ध जितेर होस् वा हारेर!'	What do you gain, and what do I gain whether we win or lose the war?'
हिजो मात्र तिम्रो हेडहन्टर बाबुको निम्तोमा तिमीले मान्द्रोमा पस्केको भात र ठाउँ-ठाउँमा सजाएको अर्नाको फिलो तिम्रो कुकुर र मसँग बसेर खाएका हौं।	Just yesterday, we ate the rice served at your headhunter father's feast and the assorted pieces of pig with your dog.
घ्याम्पाभरि रक्सी खुवाएर कस्तो तिमी खुशी भएकी थियौ।	How happy you were, getting drunk on liquor.
तिमी नै त हौ बाहिर आएपछि पनि अर्नाको सिङभरि रक्सी बोकेर मतिर झम्टिने, तिम्रा पाखुराहरूको मैले विरोध नै गर्न सकिनँ, घटघटी पिइदिएँ।	You are the same who, even after coming out, would pounce on me with a full jug of liquor, and I could not resist your bare arms, merely indulging in the excess.
शायद मेरो खाँदिएको वालिष्ट शरीर देखेर तिमी मोहित भएकी थियौ, त्यसैले आफ्ना हेडहन्टर बावुलाई के के भन्दै मलाई देखाइरहेकी थियौ।	Perhaps you were captivated by the sight of my drained, wasted body, which is why you showed me to your headhunter father, describing me.
कति सरलता थियो तिमीमा, हामी यतिका गोरा-काला पाहुनाहरूको माझ पनि तिघ्रा जम्मै देखाएर हिंडिरहेकी थियौ।	How simple you were, parading among us fair and dark guests, showing off everyone.
तिम्रा आँखाहरूमा कति कमला भावनाहरू पढ्न पाइन्थ्यो, तर हामी सिपाहीको जात, हामीलाई के वास्ता र, तिमीलाई देख्दा मलाई हाम्रो पहाडको किराँत स्वास्नीमान्छेहरूको सम्झना आएको थियो, तर तिम्रो बाबु र उनीहरूको वानुमा धेरै फरक छ।	How many noble emotions could be read in your eyes, but we soldiers, what do we care, and seeing you reminded me of the Kiranti women of our hills, though there is a great difference between your father and their clan.
शायद यही नै हाम्रो संस्मरणको अन्तिम अध्याय हुन सक्छ, हामी भोलि मर्न पनि सक्छौं, के ठेगान!	Perhaps this could be the final chapter of our memories; we might die tomorrow, who knows!
तिम्रो सिकुवामा जमघट भएर नाच्दा साँच्चै मैले सबै भुलें, हामीतिर लम्किरहेको मृत्यु पनि, बर्माको सीमान्तमा अघिल्लो मोर्चामा परेको मेरो अस्तित्व पनि।	While dancing in your festive gathering, I truly forgot everything, even the death looming over us, and my existence at the front line in the Burma frontier.
हाम्रा कर्णेल नाच्दा तिमी किन त्यस्तरी हाँसेकी, तिमी पनि हाँस्न जान्दछौ?	Why did you laugh so much when our Colonel danced? Do you also know how to laugh?
तिमीमा पनि जीवनका सपनाहरू सञ्चार हुन्छन्?	Do you also have dreams of life?
तिमी पति शिरमा फूल सिउरेर सङ्लो कुलोमा आफ्नो अनुहार हेर्दै मुस्कान भर्न सक्छौ?	Can you, with flowers on your head, smile while looking at your face in a clear mirror?
तिमी पति बैंसको ढुकढुकी अनुभव गर्छौ?	Do you feel the heartbeat of old age?
तिमी चाच्दै रहन्छौ, म पनि त तिम्रो बगलमा नै नाचिरहेको थिएँ।	You keep dancing, and I was also dancing beside you.
ननाचें भने तिम्री बाबुले टाउको काट्ला भन्ने डर।	If I stopped dancing, your father might cut off my head.
तिम्रो बाबुका अंगरक्षकहरू भाला लिएर बसेका थिए।	Your father's guards were sitting with spears.
तिम्रो घरको वातावरणको माध्यमबाट, तिम्रो माध्यमबाट मैले जीवनका सबै दिनहरू बिसार्दै थिएँ।	Through the environment of your home, through you, I was forgetting all the days of my life.
यसरी नै असार महीनाभरि खेतको आलीमा ताच्छन् तिमीजस्तै हाम्रा किराँतका छोराहरू, केंबराको फूलजस्ता पहेँला गालाहरू वर्क्याउँछन्।	Just like you, our Kiranti sons work in the fields during the month of Asar, their yellow cheeks glowing like the flowers of Khembera.
यसरी जीवनको तीक्ष्णताबाट आफूलाई सबै अलग राख्न सके तिमी र मलाई सुखको परिभाषा कसले दिनुपर्थ्यो!	If only we could separate ourselves from the sharpness of life, who would define happiness for you and me?
जे होस्, तिमीले बिर्साएकी हौ मलाई।	Anyway, you have forgotten me.
बिस्तारै मलाई एउटा सहिनसबनु विरक्तिले छोप्छ, सम्झन्छु म चितुवा भ्याङबाट बुर्लुक्क उफ्रिन तयार।	Gradually, a disillusioned calmness envelops me; I remember preparing to leap from the tiger’s lair.
म आफैँलाई धेरै नियन्त्रणमा राख्न सक्तिनँ, म क्यामोफ्लेजमा बाँधिइन्नँ र भयाङबाट बाहिर निस्कन्छु।	I cannot control myself much; I am not bound by camouflage and emerge from the jungle.
जूतमा टलम्क टल्केको मेरो कमरपेटी देखेर क झस्कन्छ र आफ्नो तीर सोभ्याएर मलाई हेरछ।	Seeing my belt gleaming in the moonlight, she is startled and looks at me with her arrow ready.
मेरो सङ्गीन र बन्दूक देखेपछि उसले आफ्नो तीर थन्क्याउँछे।	After seeing my bayonet and gun, she puts away her arrow.
म उसको अघि पुग्छु, रात, सन्नाटा, क र म, मलाई मिठो सपनाजस्तै लाग्छ त्यो क्षण।	I approach her, the night, the silence, and the moment feels like a sweet dream.
म आफ्नो भाषामा उसलाई फकाउन थाल्छु रानी भन्छु, सुकुमारी भन्छु, आफ्ना सबै प्रयोगहरू गर्छु तर उसको असभ्य मत कत्ति पनि राजी हुँदैन।	I start to persuade her in my language, calling her queen, maiden, using all my methods, but her rude attitude does not relent.
उसलाई बुझ्दै-तबु'फी बसिरहन्छे।	I remain there, trying to understand her.
क्रमशः मलाई दिक्क लाग्दै आउँछ।	Gradually, I become irritated.
हामी मदैछौं र यो एक रात मलाई देक भनी याचना गर्छु, क नटेरेर उद्न खोज्छे।	We remain, and I beg for one more night, but she tries to escape without turning back.
म उसलाई अँगाल्त झम्टन्छु, क विरोध गर्दै घचैद्छे।	I grab her to embrace, but she resists and pushes me away.
म उसलाई अँगाल्न असमर्थ हुन्छु, मलाई पछारेर क जान्छे तर म परास्त हुन्न।	I am unable to embrace her, she pushes me away and leaves, but I am not defeated.
जे होस्, म लोग्नेमान्छे, मलाई रिस उठ्छ एक असभ्य केटीको फूर्ति देखेर।	Anyway, I am a human; I become angry seeing the audacity of a rude girl.
लगत्तै उठ्छु, पछिबाट उसको छरिएको चुल्ठो समातेर उसको कमरमा ओठमा मुक्का हान्छु।	I immediately rise, grabbing the loose strands of her hair, and punch her in the waist.
औठमा एक धर्सौ रगत बग्छ, तर क हेड छौरी वल दँजाउन हिच्किचाउँदिन।	A trickle of blood flows from my hand, but she, a headstrong girl, does not hesitate to resist.
मेरो डर मान्दिन, आँखा सक्तो फुलाएर मलाई चुनौती दिन्छे।	She does not fear me, glaring defiantly and challenging me.
म मात्तिन्छु, असह्य हुन्छ अनि म राइफलको वडले टाउकोमा हिर्काएर उसलाई बेहोश बनाउँछु।	I become overwhelmed, intolerant, and knock her unconscious with the butt of my rifle.
उः भयाङमाथि सर्लम्म ढल्छे।	She collapses on the jungle floor.
यसरी क मेरो हुन्छे, सम्पूर्ण मेरो।	Thus she becomes mine, wholly mine.
यो अनकन्टारमा को छर!	In this wilderness, who is there to witness!
कसले देख्छ र?	Who will see?
जसरी खेले पनि हुन्छ यो जिउँदो लाशसित।	No matter how it is played with this living corpse.
सम्झन्छु ए सुकुमारी! तिमी र ममा कुनै दुश्मनी छैन।	I think, 'Oh, maiden! There is no enmity between you and me.'
जापानको भर्छु, त्यो पनि मर्नु नै हो, तिमी तिम्रो बस्तीसँगै एक चिहान हुन्छथौ, त्यो पति मर्नु नै हो।	To die in Japan is also to die, and you with your belongings will also become a grave; that too is to die.
हाम्रो मृत्युमा कुनै विशेषता छैन, तिमी मर मेरो हात्ताबाट, त्यो पनि तिम्रो मर्नु नै हो।	There is no distinction in our deaths; you die by my hand, which is also your death.
मृत्युलाई होइन आक जीवनलाई एकपल्ट अर्थपूर्ण सिद्ध गरिदिजँ।	Not death, but let life once be made meaningful.
उसलाई म खेलाउन थाल्छु।	I start to play with her.
एउटी स्वास्नीमान्छेको शारीरसँग रातभरि द्वन्द्व गरेर बस्छु।	I spend the night in conflict with a woman's body.
उसका प्रअङ्गसँग खेल्छु, प्रत्येक सुख भोग्छु।	I play with her limbs, enjoying every pleasure.
पशु भए सन्तुष्ट भइसक्थ्यो तर मेरो मान्छेवृत्ति सन्तुष्ट हुँदैन।	If I were an animal, I would be satisfied, but my human nature is not content.
तुम्बीको पानी खुबाएर उसलाई होशमा ल्याउत खोज्छु तर संगीन र मान्छेको उन्माद लछारपछ्ार भएकी चल्मलाउँदिन।	I try to revive her with water, but the bayonet and human frenzy have rendered her motionless.
धेरै बेरपछि पनि उसको शरीरलाई सम्पूर्ण खेलाए मलाई लाग्दैन।	Even after a long time, playing with her entire body does not satisfy me.
उसको नाङ्गो छाती आफ्नो बर्षर हातहरूले चिथोरर रक्ताम्मे पारिदिन्छु।	I tear her bare chest with my rough hands, turning it into a bloody mess.
क्रमशः उसका ओठ, गाला र गर्धन टोकेर रक्ताम्मै पारिदिन्छु।	Gradually, I bite her lips, cheeks, and neck, making them bloody.
आकाशमा ताराहरू एक-एक गर्दै लुक्दै जान्छन्।	Stars in the sky are gradually disappearing.
अन्तरिक्ष खैरो रङ्गले पोतिन्छ।	The universe is being painted in gray.
म थाक्छु र उसको निर्जीव शरीर भयार्ङभित्र लुकाएर हेर्छु।	I become tired and hide her lifeless body in the jungle.
उ: निर्विरोध टोह्लाएकी हुन्छे, हेडहन्टरकी छोरी मानौँ सम्झिरहेकी छ, कस्तो अनिश्चित यो जीवन!	She is unresistingly hidden, as if the headhunter's daughter is contemplating the uncertainty of life!
कस्तो सस्तो यो मृत्यु।	How cheap this death is.
फिलामा, पेटमा, छातीमा नीला दागहरू स्पष्ट देखापरिरहेका हुन्छन्।	In the film, blue bruises are clearly visible on her abdomen, chest.
यस्तै थियो उसको अन्त, हेडहन्टरकी छोरीको अन्त, हिटलरको महत्त्वाकाङ्क्षामा गाभिएको एउटा अन्त, बुटिशहरूको साम्राज्यवादको वेदीमा बलि गएको एउटा अन्त, एउटा निरपराध अन्त।	Thus was her end, the end of the headhunter's daughter, an end swallowed by Hitler's ambition, an end sacrificed on the altar of British imperialism, an innocent end.
सम्झदै उसलाई रित्त्याएर म फर्कन्छु।	Remembering her and emptying her, I turn back.
केही होइन पो मैले जीवनलाई अर्थपूर्ण सिद्ध गराएको हो।	Was it nothing that I made life meaningful?
त्यस ठिटीको अनुहारबाट फुत्केर एउटा टाउको भाग्छ, म विचलित भएर हेर्छु र दोहोच्याउँछु, 'मेरी सुकुमारी!	From that frail face, a head flies off; I look at it disturbed and repeat, 'Oh, my maiden!
तिमीमा आएर आश्रय खोज्छ मेरो जीवनले, यस्तरी नभाग।	My life seeks refuge in you; do not flee like this.
अहँ! म तिमीलाई बलात्कार गर्न सक्तिनँ।	Alas! I cannot rape you.
भाखरिक्षको रमाइलो कचीन बस्तीदेखि छर्लङ्ग देखिनै वन, पाखा, काँडे गुलाफमा फलेको भैंसीगोठाल्ती कचीन, एउटा स्मृतिको पाना पल्टेर उदाङ्गो हुन्छ।	simply put, the scene from the dusty village stretches out to the forest, hills, and fields. The cowherd is like a page of memory that turns over and becomes clear.
साँच्चै उसको गालामा सधैं गुलाफ फुलेको हुन्छ।	Often, roses are always in bloom on her cheeks.
ओठमा गुलाफ फुलेको हुन्छ।	Roses bloom on her lips as well.
१९४१ को मई महीना; गुलाफको क्रतु, क्याम्पको अलि पर पाखामा म डुलिरहेको हुन्छु जमदारी विल्ला जडेको फराकिलो कुम, कुख्रे छाती लिएर।	In May 1941, with the rose's wreath, I am wandering in the camp’s distant meadow with a wide waist wrapped with a belt and a chicken chest.
विदाको दिन, कचीन रक्सी-चुरुटमा आफ्ना सबै नसाहरू भिजाएर भाग्छ।	On leave, I escape after soaking all my veins in liquor and cigarettes.
